"team","elo","wins","draws","losses","best_win_name","best_win_elo","rank"
"France",1601.09791806164,7,1,0,"Croatia",1543.16352651578,1
"Belgium",1564.91105815892,7,0,2,"England",1487.21641404822,2
"Brazil",1557.96318830655,5,0,1,"Belgium",1564.91105815892,3
"Croatia",1543.16352651578,5,0,2,"England",1487.21641404822,4
"Sweden",1530.56591207284,3,0,1,"Switzerland",1512.54817848247,5
"Russia",1526.85739100665,3,0,1,"Spain",1500.5907126119,6
"Colombia",1515.58902636937,2,0,1,"Poland",1484.35792775949,7
"Denmark",1514.36195160216,1,2,0,"Peru",1484.43526099474,8
"Portugal",1514.35280000847,1,2,0,"Morocco",1470.02673549533,9
"Switzerland",1512.54817848247,2,1,1,"Serbia",1459.30415344218,10
"Uruguay",1512.2649758832,3,0,2,"Egypt",1445.01419204185,11
"Argentina",1501.85817120899,1,1,1,"Nigeria",1484.43402639846,12
"Senegal",1500.64207224051,1,1,1,"Poland",1484.35792775949,13
"Iran",1500.59252265878,1,1,1,"Morocco",1470.02673549533,14
"Spain",1500.5907126119,1,2,1,"Iran",1500.59252265878,15
"South Korea",1487.58398952133,1,0,2,"Germany",1485,16
"England",1487.21641404822,2,0,3,"Panama",1457.57803046666,17
"Saudi Arabia",1486.23740943333,1,0,2,"Egypt",1445.01419204185,18
"Germany",1485,1,0,2,"Sweden",1530.56591207284,19
"Mexico",1484.99795916321,2,0,3,"South Korea",1487.58398952133,20
"Costa Rica",1484.4611545912,0,2,1,NA,NA,21
"Peru",1484.43526099474,1,0,2,"Australia",1472.57803046666,22
"Tunisia",1484.43526099474,1,0,2,"Panama",1457.57803046666,23
"Nigeria",1484.43402639846,1,0,2,"Iceland",1470.61925815412,24
"Poland",1484.35792775949,1,0,2,"Japan",1474.36079184023,25
"Japan",1474.36079184023,1,1,3,"Colombia",1515.58902636937,26
"Australia",1472.57803046666,0,1,2,NA,NA,27
"Iceland",1470.61925815412,0,1,2,NA,NA,28
"Morocco",1470.02673549533,0,1,2,NA,NA,29
"Serbia",1459.30415344218,0,1,3,NA,NA,30
"Panama",1457.57803046666,0,0,3,NA,NA,31
"Egypt",1445.01419204185,0,0,4,NA,NA,32
